,B
t200,1.266936901
t500,1.002710817
t700,1.097349535
t850,1.345624079
t1000,1.538190536
q200,2.1504915e-05
q500,0.000740817091
q700,0.001288833976
q850,0.001390845594
q1000,0.000958950592
ciwc200,2.2636557000000002e-05
ciwc500,1.0382992e-05
ciwc700,2.7932320000000002e-06
ciwc850,1.804484e-06
ciwc1000,1.136289e-06
clwc200,8.12e-14
clwc500,3.1089669000000003e-05
clwc700,6.7579061e-05
clwc850,7.1552677e-05
clwc1000,6.8157391e-05
crwc200,5.3e-17
crwc500,7.15315e-07
crwc700,2.6448046e-05
crwc850,2.7190374999999998e-05
crwc1000,2.427954e-05
cswc200,1.5225583e-05
cswc500,9.9673492e-05
cswc700,2.1841473e-05
cswc850,1.4448953e-05
cswc1000,1.1494984e-05
